speed,grade,vo2,vo2_abs,vco2,rer,rr,vt.btps,ve.btps,peto2,petco2,br,time,ex_time,clock_time,stage
2.8,0.9,14.8,766,563,0.73,32,654,21.1,98,34,82.8,1.0166666666666666,0.01666666666666666,11:58:28,1
2.9,0.9,12.2,629,455,0.72,30,573,17.3,98,34,85.9,1.05,0.05,11:58:30,1
2.9,0.9,8.4,432,320,0.74,30,416,12.4,99,33,89.9,1.0833333333333333,0.08333333333333333,11:58:32,1
3,0.9,10.3,534,375,0.7,29,481,14.1,95,35,88.5,1.1166666666666667,0.11666666666666668,11:58:34,1
2.9,0.9,9,465,324,0.7,33,394,13.1,96,34,89.3,1.15,0.15,11:58:36,1
3,0.9,8.3,430,287,0.67,33,371,12.1,92,35,90.2,1.1833333333333331,0.18333333333333332,11:58:38,1
3,0.9,19.1,986,626,0.64,34,585,20.1,88,37,83.7,1.2166666666666668,0.21666666666666667,11:58:40,1
3,0.9,19.6,1013,665,0.66,30,743,22.6,94,34,81.6,1.25,0.25,11:58:42,1
3,0.9,16.4,846,567,0.67,28,727,20,97,33,83.7,1.2833333333333332,0.2833333333333333,11:58:44,1
2.9,0.9,13.5,698,491,0.7,30,622,18.5,99,32,84.9,1.3166666666666669,0.31666666666666665,11:58:46,1
3,0.9,11.6,599,436,0.73,36,496,18,102,31,85.3,1.35,0.35,11:58:48,1
3,0.9,17.7,915,654,0.71,31,756,23.6,100,32,80.8,1.3833333333333333,0.38333333333333336,11:58:50,1
3,0.9,11.2,578,421,0.73,28,581,16.2,100,32,86.8,1.4166666666666667,0.4166666666666667,11:58:52,1
3,0.9,11.9,612,448,0.73,36,497,17.7,98,33,85.5,1.4333333333333331,0.43333333333333335,11:58:53,1
3,0.9,14.6,755,557,0.74,38,559,20.9,97,34,82.9,1.4666666666666668,0.4666666666666667,11:58:55,1
3,0.9,14.5,749,533,0.71,32,605,19.6,97,33,84,1.5,0.5,11:58:57,1
3,0.9,14.7,757,535,0.71,24,757,18.4,97,34,85,1.5333333333333332,0.5333333333333333,11:58:59,1
3,0.9,14.3,736,522,0.71,22,836,18.1,99,33,85.3,1.5833333333333337,0.5833333333333334,11:59:02,1
3,0.9,15.3,790,551,0.7,26,740,19.2,95,34,84.3,1.6166666666666667,0.6166666666666667,11:59:04,1
3,0.9,11.2,579,407,0.7,33,503,16.5,97,33,86.6,1.65,0.65,11:59:06,1
3,0.9,7.9,410,300,0.73,45,293,13.1,93,35,89.3,1.6833333333333331,0.6833333333333333,11:59:08,1
3,0.9,12.3,635,422,0.66,34,466,15.6,92,35,87.3,1.7,0.7,11:59:09,1
2.9,0.9,10,518,340,0.66,27,483,13.1,93,34,89.3,1.75,0.75,11:59:12,1
3,0.9,10.2,524,325,0.62,23,518,11.8,92,35,90.4,1.7833333333333332,0.7833333333333333,11:59:14,1
3,0.9,3.7,189,118,0.63,24,233,5.7,87,37,95.4,1.8333333333333337,0.8333333333333334,11:59:17,1
2.9,0.9,7.4,380,239,0.63,44,279,12.2,90,34,90.1,1.85,0.85,11:59:18,1
3,0.9,11.3,582,394,0.68,67,255,17.2,88,36,86,1.8666666666666667,0.8666666666666667,11:59:19,1
2.9,0.9,29.6,1530,917,0.6,27,1042,28.5,86,36,76.8,1.9,0.9,11:59:21,1
3,0.9,21.1,1089,663,0.61,26,827,21.6,90,34,82.4,1.9333333333333331,0.9333333333333332,11:59:23,1
3.3,0.9,16.8,867,551,0.64,25,760,19,92,34,84.5,1.9833333333333336,0.9833333333333332,11:59:26,1
4,0.9,11.4,589,391,0.66,30,508,15.3,94,34,87.5,2.0166666666666666,1.0166666666666666,11:59:28,2
4.8,0.9,21,1082,706,0.65,32,692,22.5,91,35,81.7,2.05,1.05,11:59:30,2
5,0.9,19.7,1015,675,0.66,25,867,22,101,31,82.1,2.0833333333333335,1.0833333333333333,11:59:32,2
5,0.9,22.9,1182,875,0.74,29,1100,31.6,104,31,74.3,2.1166666666666667,1.1166666666666667,11:59:34,2
5,0.9,22.2,1146,872,0.76,35,880,30.5,104,31,75.1,2.15,1.15,11:59:36,2
4.8,0.9,25.4,1310,1047,0.8,41,940,38.7,105,31,68.5,2.1666666666666665,1.1666666666666667,11:59:37,2
4.8,0.9,22.6,1167,954,0.82,40,890,35.4,107,30,71.2,2.2,1.2,11:59:39,2
4.8,0.9,15.9,820,706,0.86,38,719,27.5,108,30,77.6,2.216666666666667,1.2166666666666668,11:59:40,2
5,0.9,17.4,901,765,0.85,42,716,30,109,30,75.6,2.25,1.25,11:59:42,2
5,0.9,14.7,760,644,0.85,42,583,24.3,106,31,80.2,2.2666666666666666,1.2666666666666666,11:59:43,2
