speed,grade,vo2,vo2_abs,vco2,rer,rr,vt.btps,ve.btps,peto2,petco2,br,time,ex_time,stage,fixed_speeds,fixed_grades,ramp_time,ramp_speed
2.7,1,5.8,493,398,0.81,18,818,15.1,109,31,90.7,1.1833333333333331,0.03333333333333333,1,3,1,-15.033333333333333,-3.5012499999999998
3,1,4.4,372,301,0.81,17,651,10.8,108,31,93.4,1.25,0.1,1,3,1,-14.966666666666667,-3.47375
2.9,1,18,1517,1060,0.7,28,1110,31.6,96,36,80.6,1.2833333333333332,0.13333333333333333,1,3,1,-14.933333333333334,-3.46
3,1,12,1010,690,0.68,22,985,21.9,96,35,86.5,1.3166666666666669,0.16666666666666666,1,3,1,-14.9,-3.44625
3,1,11.4,962,637,0.66,26,797,20.8,96,35,87.2,1.3666666666666667,0.21666666666666667,1,3,1,-14.85,-3.4256249999999993
3,1,5.2,436,291,0.67,13,809,10.3,97,34,93.7,1.4333333333333331,0.2833333333333333,1,3,1,-14.783333333333333,-3.3981249999999994
2.8,1,19.5,1646,1032,0.63,24,1296,31.5,91,36,80.6,1.4833333333333334,0.3333333333333333,1,3,1,-14.733333333333333,-3.3774999999999995
3,1,12.4,1048,716,0.68,20,1186,23.7,101,33,85.4,1.5333333333333332,0.38333333333333336,1,3,1,-14.683333333333334,-3.3568749999999996
3,1,8,675,492,0.73,17,1258,21.9,104,32,86.5,1.5833333333333337,0.43333333333333335,1,3,1,-14.633333333333333,-3.3362499999999997
3,1,10.7,900,640,0.71,30,727,22,99,35,86.5,1.6166666666666667,0.4666666666666667,1,3,1,-14.6,-3.3225
2.9,1,9.2,778,559,0.72,26,725,18.8,99,35,88.5,1.6666666666666663,0.5166666666666667,1,3,1,-14.549999999999999,-3.301874999999999
2.9,1,6.2,523,328,0.63,15,605,9.4,89,38,94.3,1.7166666666666668,0.5666666666666667,1,3,1,-14.5,-3.281249999999999
3,1,16.6,1397,909,0.65,26,1074,27.8,94,36,82.9,1.7666666666666666,0.6166666666666667,1,3,1,-14.45,-3.260624999999999
3,1,13.8,1159,789,0.68,28,960,26.4,98,34,83.8,1.8,0.65,1,3,1,-14.416666666666666,-3.2468749999999993
2.9,1,15.4,1298,944,0.73,26,1253,32.7,104,32,79.9,1.8333333333333337,0.6833333333333333,1,3,1,-14.383333333333333,-3.2331249999999994
3,1,12.7,1067,811,0.76,33,909,30,106,31,81.6,1.8666666666666667,0.7166666666666667,1,3,1,-14.35,-3.2193749999999994
