speed,grade,vo2,vo2_abs,vco2,rer,rr,vt.btps,ve.btps,peto2,petco2,br,time,ex_time,clock_time
2.9,1,5,281,195,0.69,7,1018,7.2,95,34,94.7,1.1166666666666667,0.05,12:36:06
2.9,1,3.5,200,127,0.64,7,553,4.1,92,36,97,1.2666666666666666,0.2,12:36:15
2.9,1,10.5,592,357,0.6,7,1516,10.6,88,36,92.2,1.4,0.3333333333333333,12:36:23
2.9,1,8.5,477,275,0.58,11,791,8.8,88,35,93.5,1.4833333333333334,0.4166666666666667,12:36:28
3,1,11,619,361,0.58,8,1332,10.6,89,35,92.2,1.6166666666666667,0.55,12:36:36
3,1,10.9,614,374,0.61,9,1295,11.6,93,34,91.5,1.7333333333333334,0.6666666666666666,12:36:43
2.9,1,8.4,473,268,0.57,17,518,8.9,86,36,93.5,1.7833333333333332,0.7166666666666667,12:36:46
3,1,10.5,590,320,0.54,10,989,10.1,81,37,92.6,1.8833333333333333,0.8166666666666667,12:36:52
3,1,10.9,616,339,0.55,9,1168,10.2,82,37,92.5,2,0.9333333333333333,12:36:59
4.8,1,22.2,1250,704,0.56,12,1830,21.8,89,34,84,2.0833333333333335,1.0166666666666666,12:37:04
5.8,1,23.4,1320,757,0.57,27,909,24.5,92,33,82.1,2.1166666666666667,1.05,12:37:06
5.8,1,16.5,932,551,0.59,25,734,18.1,92,34,86.7,2.1666666666666665,1.1,12:37:09
5.8,1,17.5,986,568,0.58,24,745,18.2,90,35,86.7,2.2,1.1333333333333333,12:37:11
5.7,1,19.9,1119,655,0.59,20,1016,20.3,89,35,85.1,2.25,1.1833333333333333,12:37:14
5.8,1,20.9,1175,690,0.59,12,1598,20,89,36,85.3,2.3333333333333335,1.2666666666666666,12:37:19
5.8,1,21.7,1224,706,0.58,23,987,22.3,89,35,83.7,2.3833333333333333,1.3166666666666667,12:37:22
5.8,1,20.2,1135,653,0.58,25,825,20.8,90,34,84.7,2.4166666666666665,1.35,12:37:24
5.8,1,24.8,1398,788,0.56,31,830,26.1,91,34,80.9,2.45,1.3833333333333333,12:37:26
5.8,1,23,1294,736,0.57,22,1001,22.3,88,35,83.6,2.5,1.4333333333333333,12:37:29
5.8,1,24.3,1367,762,0.56,30,816,24.4,89,34,82.1,2.533333333333333,1.4666666666666668,12:37:31
5.8,1,22.7,1280,721,0.56,25,898,22.3,85,36,83.7,2.5666666666666664,1.5,12:37:33
5.8,1,22.7,1276,709,0.56,18,1148,20.8,86,35,84.7,2.6166666666666667,1.55,12:37:36
5.8,1,24.3,1367,799,0.58,11,2086,23,84,38,83.2,2.716666666666667,1.65,12:37:42
5.8,1,30.9,1742,936,0.54,28,923,25.8,81,38,81.1,2.75,1.6833333333333333,12:37:44
5.8,1,42.5,2392,1258,0.53,30,1220,36.8,84,36,73,2.783333333333333,1.7166666666666668,12:37:46
5.7,1,37.1,2089,1225,0.59,17,2136,36.4,89,35,73.3,2.8333333333333335,1.7666666666666666,12:37:49
5.7,1,28.2,1590,928,0.58,30,1000,29.5,92,34,78.3,2.8666666666666667,1.8,12:37:51
5.7,1,36.4,2051,1212,0.59,32,1115,35.8,89,36,73.7,2.9,1.8333333333333335,12:37:53
5.8,1,29.1,1637,1054,0.64,14,2190,31.4,94,35,77,2.9833333333333334,1.9166666666666665,12:37:58
5.8,1,31.4,1768,1070,0.61,34,955,32.2,91,36,76.4,3,1.9333333333333333,12:37:59
5.8,1,29.5,1664,1009,0.61,28,1095,31,93,35,77.3,3.033333333333333,1.9666666666666668,12:38:01
5.8,1,26.2,1473,953,0.65,14,1920,27.6,89,38,79.7,3.1166666666666667,2.05,12:38:06
5.8,1,35.2,1986,1189,0.6,17,1845,31.5,86,38,76.9,3.1666666666666665,2.1,12:38:09
5.8,1,37.6,2118,1361,0.64,16,2393,38.8,91,37,71.5,3.2333333333333334,2.1666666666666665,12:38:13
5.8,1,31.4,1768,1132,0.64,18,1737,31.5,91,37,76.9,3.283333333333333,2.216666666666667,12:38:16
5.7,1,32.3,1822,1169,0.64,31,1110,34.7,93,36,74.6,3.3166666666666664,2.25,12:38:18
5.8,1,31.7,1788,1243,0.7,14,2589,35.5,93,38,73.9,3.3833333333333333,2.3166666666666664,12:38:22
5.8,1,35.2,1981,1279,0.65,34,1104,37,92,37,72.9,3.4166666666666665,2.35,12:38:24
5.8,1,36.7,2066,1360,0.66,26,1542,39.5,93,37,71,3.466666666666667,2.4,12:38:27
5.8,1,37.2,2095,1413,0.67,26,1602,41.1,95,36,69.9,3.5,2.4333333333333336,12:38:29
5.7,1,35.7,2011,1371,0.68,31,1389,42.5,97,35,68.8,3.533333333333333,2.466666666666667,12:38:31
5.7,1,25,1407,917,0.65,19,1311,25.2,89,39,81.5,3.5833333333333335,2.5166666666666666,12:38:34
5.8,1,39.9,2246,1522,0.68,20,2079,41.6,91,38,69.5,3.6333333333333333,2.5666666666666664,12:38:37
5.8,1,37.8,2130,1454,0.68,32,1349,43.1,94,37,68.4,3.6666666666666665,2.6,12:38:39
5.8,1,40.6,2288,1595,0.7,29,1626,47.4,96,36,65.2,3.7,2.6333333333333333,12:38:41
5.8,1,37.5,2111,1531,0.73,26,1800,46.6,99,35,65.8,3.7333333333333334,2.6666666666666665,12:38:43
5.8,1,34.2,1925,1439,0.75,25,1739,44,100,35,67.7,3.783333333333333,2.716666666666667,12:38:46
5.7,1,31,1749,1349,0.77,19,2029,39.5,99,37,71,3.8333333333333335,2.7666666666666666,12:38:49
5.7,1,31,1744,1328,0.76,30,1328,39.8,99,36,70.8,3.8666666666666667,2.8,12:38:51
5.8,1,34.3,1934,1479,0.76,20,2156,43.1,97,37,68.4,3.9166666666666665,2.85,12:38:54
5.8,1,27.6,1553,1199,0.77,31,1170,36.2,98,37,73.4,3.95,2.8833333333333333,12:38:56
5.8,1,37.5,2113,1570,0.74,37,1280,46.8,99,36,65.7,3.966666666666667,2.9,12:38:57
5.8,1,24.9,1405,994,0.71,22,1239,27.2,93,39,80,4.016666666666667,2.95,12:39:00
5.7,1,36.6,2064,1542,0.75,23,1840,42.5,94,38,68.9,4.066666666666666,3,12:39:03
5.7,1,32.8,1847,1337,0.72,20,1838,36.9,95,38,72.9,4.116666666666666,3.05,12:39:06
5.8,1,40.2,2266,1607,0.71,29,1635,46.7,97,36,65.7,4.15,3.0833333333333335,12:39:08
5.8,1,32.3,1818,1354,0.74,20,1883,37.9,98,37,72.2,4.2,3.1333333333333333,12:39:11
5.7,1,40.2,2267,1614,0.71,31,1484,46.1,95,38,66.1,4.233333333333333,3.1666666666666665,12:39:13
5.7,1,33.8,1901,1434,0.75,19,2139,41.5,97,37,69.5,4.283333333333333,3.216666666666667,12:39:16
5.7,1,37.3,2103,1562,0.74,32,1407,45.6,96,38,66.5,4.316666666666666,3.25,12:39:18
5.8,1,33.3,1876,1424,0.76,20,2040,40.4,96,38,70.4,4.366666666666666,3.3,12:39:21
5.8,1,35.4,1994,1466,0.74,25,1620,40.5,94,39,70.3,4.4,3.3333333333333335,12:39:23
5.7,1,33.8,1903,1466,0.77,15,2694,41.1,97,38,69.8,4.466666666666667,3.4,12:39:27
5.7,1,35.2,1986,1503,0.76,32,1344,42.9,97,38,68.5,4.5,3.4333333333333336,12:39:29
5.7,1,32.5,1829,1397,0.76,27,1503,40.4,100,36,70.3,4.533333333333333,3.466666666666667,12:39:31
5.7,1,35.8,2016,1567,0.78,30,1506,45.4,98,37,66.7,4.566666666666666,3.5,12:39:33
5.8,1,36.6,2064,1590,0.77,26,1734,44.7,100,36,67.2,4.6,3.533333333333333,12:39:35
5.8,1,34.2,1925,1403,0.73,35,1221,42.3,100,36,68.9,4.633333333333333,3.5666666666666664,12:39:37
5.8,1,36,2029,1546,0.76,33,1345,44.8,97,37,67.1,4.666666666666667,3.6,12:39:39
