speed,grade,vo2,vo2_abs,vco2,rer,rr,vt.btps,ve.btps,peto2,petco2,br,time,ex_time
2.8,0.9,9.5,566,495,0.87,26,676,17.6,112,31,85.8,1.0333333333333334,0.016666666666666666
2.9,0.9,8.2,491,426,0.87,27,559,14.8,110,32,88,1.0666666666666667,0.05
3,0.9,7.5,449,395,0.88,29,475,13.8,109,32,88.9,1.1,0.08333333333333333
2.9,0.9,8.4,501,534,1.06,11,1809,19.9,114,32,83.9,1.2,0.18333333333333332
3,0.9,4.6,274,265,0.97,15,705,10.3,113,32,91.7,1.2666666666666666,0.25
3,0.9,5.6,334,279,0.84,19,519,9.8,107,33,92.1,1.3166666666666667,0.3
3,0.9,7.9,471,369,0.78,30,425,12.7,105,34,89.8,1.35,0.3333333333333333
3,0.9,8.9,534,466,0.87,15,989,14.5,110,32,88.3,1.4166666666666667,0.4
3,0.9,6.5,388,360,0.93,17,780,13.2,113,30,89.3,1.4833333333333334,0.4666666666666667
3,0.9,7.8,465,442,0.95,16,976,15.5,114,31,87.5,1.55,0.5333333333333333
3,0.9,4.5,267,250,0.93,5,2003,9.8,102,34,92.1,1.75,0.7333333333333333
3,0.9,8,481,272,0.57,17,481,8.4,80,39,93.2,1.8,0.7833333333333333
3,0.9,17,1019,567,0.56,23,769,17.9,90,35,85.5,1.85,0.8333333333333334
3,0.9,7.6,453,265,0.59,17,483,8.3,91,35,93.3,1.9,0.8833333333333333
3,0.9,11.7,697,420,0.6,22,614,13.7,94,34,89,1.95,0.9333333333333333
3.9,0.9,16.4,983,623,0.63,22,925,20.1,99,33,83.8,2,0.9833333333333333
6.1,0.9,9.1,544,343,0.63,19,633,11.9,96,35,90.4,2.05,1.0333333333333334
6,0.9,12.5,745,494,0.66,32,567,18.4,101,32,85.2,2.0833333333333335,1.0666666666666667
6,0.9,17.3,1036,687,0.66,31,740,23,99,34,81.4,2.1166666666666667,1.1
6,0.9,15,898,607,0.68,32,646,20.7,101,32,83.3,2.15,1.1333333333333333
6.1,0.9,13,775,538,0.69,28,691,19.6,104,32,84.2,2.183333333333333,1.1666666666666667
5.8,0.9,12.9,774,543,0.7,27,702,18.7,101,33,84.9,2.216666666666667,1.2
6,0.9,13.9,833,576,0.69,28,698,19.5,103,32,84.3,2.25,1.2333333333333334
5.8,0.9,11.9,709,471,0.66,22,813,17.7,99,34,85.7,2.3,1.2833333333333332
6,0.9,15.8,942,558,0.59,21,763,15.9,89,36,87.1,2.35,1.3333333333333333
5.8,0.9,17.2,1029,619,0.6,26,807,21,97,33,83.1,2.3833333333333333,1.3666666666666667
6,0.9,14.8,882,537,0.61,29,686,19.8,98,33,84,2.4166666666666665,1.4
5.8,0.9,14.1,842,511,0.61,26,712,18.4,97,33,85.1,2.466666666666667,1.45
6,0.9,23,1376,801,0.58,29,847,24.8,91,35,80,2.5,1.4833333333333334
5.8,0.9,18,1078,631,0.58,27,717,19.4,90,36,84.4,2.533333333333333,1.5166666666666666
6,0.9,19.3,1152,686,0.6,28,784,22,93,34,82.3,2.5666666666666664,1.55
5.8,0.9,23.1,1381,821,0.59,35,737,25.9,94,34,79.1,2.6,1.5833333333333335
6,0.9,20.8,1241,828,0.67,20,1374,26.9,99,34,78.3,2.65,1.6333333333333333
5.8,0.9,24.7,1478,945,0.64,32,872,28.3,94,36,77.2,2.6833333333333336,1.6666666666666665
6.1,0.9,18.2,1086,683,0.63,28,755,21.4,95,35,82.8,2.716666666666667,1.7
6,0.9,24.7,1478,935,0.63,35,799,27.7,93,36,77.6,2.7333333333333334,1.7166666666666668
6,0.9,17.7,1059,700,0.66,12,1706,20.7,79,42,83.3,2.8166666666666664,1.8
6,0.9,27.1,1623,989,0.61,26,1129,28.9,91,36,76.6,2.8666666666666667,1.85
6,0.9,29.3,1753,1135,0.65,31,1145,35,96,35,71.7,2.9,1.8833333333333333
6,0.9,20.9,1248,855,0.68,25,1018,25.8,98,35,79.2,2.9333333333333336,1.9166666666666665
5.8,0.9,21,1258,866,0.69,30,862,26,96,36,79,2.966666666666667,1.95
6,0.9,25.8,1543,1040,0.67,33,924,30.1,94,37,75.7,3,1.9833333333333334
5.8,0.9,25.4,1521,1020,0.67,33,932,30.4,96,36,75.5,3.033333333333333,2.0166666666666666
6.1,0.9,20,1193,813,0.68,29,835,24.3,95,36,80.4,3.066666666666667,2.05
6,0.9,26.6,1589,1098,0.69,32,1005,32.4,97,36,73.9,3.1,2.0833333333333335
6.1,0.9,22.6,1352,976,0.72,30,989,30.1,100,35,75.7,3.1333333333333333,2.1166666666666667
5.8,0.9,20.9,1248,919,0.74,31,902,28.1,98,36,77.4,3.1666666666666665,2.15
5.8,0.9,21.3,1275,932,0.73,29,973,28.1,100,35,77.3,3.2,2.183333333333333
5.8,0.9,22.5,1347,1020,0.76,18,1745,30.8,100,36,75.2,3.25,2.2333333333333334
6.1,0.9,24.4,1461,1030,0.7,31,902,28.2,95,38,77.3,3.283333333333333,2.2666666666666666
6,0.9,25.1,1503,1078,0.72,34,950,31.8,97,36,74.3,3.3166666666666664,2.3
6,0.9,18.7,1119,766,0.68,18,1087,19.5,92,39,84.3,3.3666666666666667,2.35
5.8,0.9,25.8,1545,1077,0.7,28,1091,30.3,94,38,75.6,3.4,2.3833333333333333
5.8,0.9,22.9,1372,998,0.73,30,977,29,98,36,76.6,3.4333333333333336,2.4166666666666665
5.8,0.9,26.2,1564,1131,0.72,32,1072,33.8,98,36,72.7,3.466666666666667,2.45
6.1,0.9,24.8,1482,1089,0.73,28,1187,32.7,98,36,73.6,3.5,2.4833333333333334
5.8,0.9,25.1,1503,1119,0.74,32,1056,33.4,99,36,73.1,3.533333333333333,2.5166666666666666
6.1,0.9,21.2,1269,935,0.74,30,888,26.5,96,38,78.6,3.5666666666666664,2.55
6,0.9,24,1435,1069,0.74,30,1023,31,98,37,75,3.6,2.5833333333333335
6,0.9,23.8,1421,1063,0.75,28,1079,30.4,97,38,75.5,3.6333333333333333,2.6166666666666667
6,0.9,23.1,1383,1010,0.73,28,1075,29.7,97,38,76,3.6833333333333336,2.6666666666666665
6,0.9,24.1,1443,1068,0.74,29,1079,31.1,97,37,74.9,3.716666666666667,2.7
6,0.9,21.2,1265,991,0.78,19,1533,28.8,100,37,76.7,3.7666666666666666,2.75
6,0.9,23.6,1408,1068,0.76,28,1061,30,98,38,75.8,3.8,2.783333333333333
5.8,0.9,19.4,1161,784,0.68,20,942,18.4,86,43,85.1,3.85,2.8333333333333335
6.1,0.9,29.1,1742,1310,0.75,23,1669,37.9,99,37,69.4,3.9,2.8833333333333333
5.8,0.9,25.2,1508,1195,0.79,27,1312,35.1,101,36,71.6,3.9333333333333336,2.9166666666666665
6,0.9,24.7,1474,1172,0.8,33,1085,35.8,102,36,71.2,3.966666666666667,2.95
5.8,0.9,22.6,1350,1105,0.82,31,1060,33.3,103,36,73.1,4,2.9833333333333334
6.1,0.9,21.9,1307,1092,0.84,20,1607,32.5,102,37,73.8,4.05,3.033333333333333
5.8,0.9,24.9,1489,1180,0.79,29,1136,33.4,100,38,73,4.083333333333333,3.066666666666667
6.1,0.9,23.9,1431,1139,0.8,31,1104,34,102,36,72.6,4.116666666666666,3.1
5.8,0.9,22.5,1347,1047,0.78,29,1013,29.5,100,37,76.2,4.15,3.1333333333333333
6,0.9,22.7,1355,1116,0.82,18,1784,31.6,99,39,74.5,4.2,3.183333333333333
6.1,0.9,17.9,1070,763,0.71,20,907,18.4,88,43,85.2,4.25,3.2333333333333334
5.8,0.9,26,1556,1189,0.76,33,1021,33.8,98,37,72.7,4.283333333333333,3.2666666666666666
6,0.9,29.2,1748,1349,0.77,33,1196,39.9,99,37,67.8,4.316666666666666,3.3
6,0.9,21.3,1274,1066,0.84,34,953,32.7,106,34,73.6,4.333333333333333,3.3166666666666664
5.8,0.9,23.7,1418,1159,0.82,32,1085,34.3,102,37,72.4,4.366666666666666,3.35
