speed,grade,vo2,vo2_abs,vco2,rer,rr,vt_btps,ve_btps,br,peto2,petco2,time,ex_time,clock_time
2.1,1,12.3,1002,895,0.89,15,1749,25.7,85.5,108,34,1.2,0,08:11:43
2.9,1,7,571,505,0.88,25,649,16.5,90.7,103,37,1.25,0.05,08:11:46
2.9,1,4.9,394,340,0.86,25,482,12,93.2,102,38,1.2833333333333332,0.08333333333333333,08:11:48
3,1,4.5,365,346,0.95,30,409,12.1,93.2,96,40,1.3166666666666667,0.11666666666666667,08:11:50
2.9,1,7.7,625,495,0.79,24,610,14.7,91.7,94,41,1.3666666666666667,0.16666666666666666,08:11:53
3,1,9,734,563,0.77,20,799,15.9,91,94,40,1.4166666666666667,0.21666666666666667,08:11:56
3,1,11.8,958,723,0.75,21,941,19.9,88.8,94,40,1.4666666666666668,0.26666666666666666,08:11:59
3,1,9.3,754,571,0.76,25,684,17.1,90.3,94,40,1.5,0.3,08:12:01
3,1,13.7,1113,852,0.77,29,818,23.8,86.5,94,40,1.5333333333333332,0.3333333333333333,08:12:03
2.8,1,10.2,826,634,0.77,25,747,18.7,89.4,95,40,1.5666666666666667,0.36666666666666664,08:12:05
3,1,7.1,577,489,0.85,45,401,18,89.8,94,40,1.6,0.4,08:12:07
3,1,10.7,868,699,0.81,12,1626,18.8,89.3,98,39,1.6833333333333333,0.48333333333333334,08:12:12
3,1,12,976,739,0.76,26,791,20.2,88.6,91,41,1.7166666666666668,0.5166666666666667,08:12:14
2.8,1,12.8,1039,795,0.77,15,1349,20.5,88.4,95,40,1.7833333333333332,0.5833333333333334,08:12:18
3,1,11.7,953,730,0.77,21,951,19.8,88.8,94,40,1.8333333333333335,0.6333333333333333,08:12:21
3,1,12.5,1012,754,0.74,23,902,20.7,88.3,93,41,1.8833333333333333,0.6833333333333333,08:12:24
2.9,1,11.7,948,700,0.74,23,868,19.7,88.8,93,40,1.9166666666666665,0.7166666666666667,08:12:26
3,1,12.9,1047,768,0.73,22,935,21,88.1,93,41,1.9666666666666668,0.7666666666666667,08:12:29
3,1,12.3,1002,740,0.74,21,968,20.5,88.4,93,40,2.0166666666666666,0.8166666666666667,08:12:32
2.8,1,12.1,984,723,0.73,21,926,19.3,89.1,90,41,2.066666666666667,0.8666666666666667,08:12:35
3,1,10.9,885,647,0.73,16,1020,16.8,90.5,90,41,2.1166666666666667,0.9166666666666666,08:12:38
4,1,11.2,908,652,0.72,14,1153,16.3,90.8,88,43,2.2,1,08:12:43
5.8,1,9.2,747,530,0.71,23,654,15,91.5,88,42,2.2333333333333334,1.0333333333333334,08:12:45
6.5,0.9,26.5,2154,1472,0.68,28,1353,37.6,78.7,87,42,2.2666666666666666,1.0666666666666667,08:12:47
6.3,0.9,24.8,2015,1485,0.74,31,1343,41.5,76.5,95,38,2.3,1.1,08:12:49
6.2,0.9,14.5,1174,883,0.75,15,1487,22.5,87.3,89,43,2.3666666666666667,1.1666666666666667,08:12:53
6.3,0.9,23.9,1940,1392,0.72,35,1132,39.7,77.5,92,40,2.4,1.2,08:12:55
6.3,0.9,17.4,1414,1061,0.75,23,1260,29.3,83.4,93,40,2.45,1.25,08:12:58
6.2,0.9,15.1,1228,892,0.73,29,879,25.6,85.5,94,39,2.4833333333333334,1.2833333333333332,08:13:00
6.2,0.9,17.6,1428,1047,0.73,25,1109,28.2,84.1,92,40,2.5166666666666666,1.3166666666666667,08:13:02
