speed,grade,vo2,vo2_abs,vco2,rer,rr,vt_btps,ve_btps,br,peto2,petco2,time,ex_time,clock_time
0.9,0.7,7.6,462,319,0.69,23,391,9.1,92.7,100,35,1.1666666666666667,0,11:09:27
2.8,0.8,8.1,494,387,0.78,29,505,14.5,88.3,102,34,1.2,0.03333333333333333,11:09:29
2.9,0.8,8.4,513,393,0.77,32,481,15.3,87.6,103,33,1.2333333333333334,0.06666666666666667,11:09:31
3,0.8,14.3,868,670,0.77,40,624,25,79.9,105,32,1.2666666666666666,0.1,11:09:33
2.9,0.8,8.8,536,414,0.77,21,710,15,87.9,103,34,1.3166666666666667,0.15,11:09:36
3,0.8,5.3,320,227,0.71,18,460,8.4,93.2,94,37,1.3666666666666667,0.2,11:09:39
3,0.8,17.3,1056,751,0.71,25,1001,24.6,80.2,99,34,1.4,0.23333333333333334,11:09:41
3,0.8,15.8,960,667,0.7,25,865,21.6,82.6,99,34,1.45,0.2833333333333333,11:09:44
3,0.8,10.7,652,451,0.69,30,539,16.1,87,98,35,1.4833333333333334,0.31666666666666665,11:09:46
3,0.8,12,733,527,0.72,28,628,17.8,85.7,97,36,1.5166666666666666,0.35,11:09:48
3,0.8,13.9,846,587,0.69,31,665,20.8,83.3,99,35,1.55,0.38333333333333336,11:09:50
3,0.8,13.6,830,620,0.75,25,836,21,83.1,101,34,1.5833333333333335,0.4166666666666667,11:09:52
3,0.8,5.8,354,268,0.75,19,499,9.4,92.4,102,34,1.6333333333333333,0.4666666666666667,11:09:55
3,0.8,14.7,897,648,0.72,30,705,20.8,83.2,98,36,1.6666666666666665,0.5,11:09:57
3,0.8,16.6,1012,728,0.72,32,740,23.7,80.9,99,35,1.7,0.5333333333333333,11:09:59
2.9,0.8,13.7,835,630,0.75,30,733,21.8,82.4,103,34,1.7333333333333334,0.5666666666666667,11:10:01
3,0.8,7.1,434,350,0.81,20,621,12.3,90.1,101,35,1.7833333333333332,0.6166666666666667,11:10:04
3,0.8,4.2,256,199,0.78,16,512,7.9,93.6,104,33,1.8666666666666667,0.7,11:10:09
2.9,0.8,16.8,1022,682,0.67,37,603,22.3,82,93,37,1.9,0.7333333333333333,11:10:11
2.9,0.8,13.1,800,536,0.67,29,636,18.4,85.2,95,36,1.9333333333333333,0.7666666666666667,11:10:13
2.9,0.8,16.3,990,668,0.67,29,753,21.9,82.3,94,36,1.9666666666666668,0.8,11:10:15
2.9,0.8,14.5,885,609,0.69,31,673,20.9,83.1,96,35,2,0.8333333333333334,11:10:17
3,0.8,11.1,675,453,0.67,26,629,16.2,87,97,35,2.033333333333333,0.8666666666666667,11:10:19
