speed,grade,vo2,vo2_abs,vco2,rer,rr,vt_btps,ve_btps,br,peto2,petco2,time,ex_time,clock_time
1.1,0.9,4,276,232,0.84,15,633,9.2,94.9,107,35,1.1,0,11:23:10
2.9,0.9,9,620,545,0.88,13,1470,18.8,89.6,110,33,1.1833333333333333,0.08333333333333333,11:23:15
3,0.9,6,414,353,0.85,14,1036,14,92.3,107,34,1.25,0.15,11:23:19
3,0.9,8,552,455,0.83,14,1154,16.4,91,107,33,1.3166666666666667,0.21666666666666667,11:23:23
3,0.9,13.5,937,772,0.82,14,1604,22.6,87.5,102,37,1.4,0.3,11:23:28
2.9,0.9,5,346,274,0.79,11,981,11.1,93.9,105,35,1.4833333333333334,0.38333333333333336,11:23:33
3,0.9,7.9,549,427,0.78,13,1031,13.6,92.5,104,35,1.5666666666666667,0.4666666666666667,11:23:38
3,0.9,10.4,718,572,0.8,13,1375,17.6,90.3,104,34,1.6333333333333333,0.5333333333333333,11:23:42
3,0.9,9.3,641,508,0.79,11,1370,15,91.7,102,36,1.7333333333333334,0.6333333333333333,11:23:48
3,0.9,6.8,470,367,0.78,12,1012,12.7,93,103,36,1.8166666666666667,0.7166666666666667,11:23:53
3,0.9,7,481,365,0.76,13,963,12.4,93.1,104,34,1.8833333333333333,0.7833333333333333,11:23:57
2.9,0.9,5.2,362,271,0.75,14,726,10.2,94.4,103,36,1.95,0.85,11:24:01
3,0.9,3.7,254,176,0.69,17,376,6.6,96.4,91,40,2.0166666666666666,0.9166666666666666,11:24:05
3.5,0.9,7.8,539,364,0.67,13,965,12.2,93.2,96,37,2.1,1,11:24:10
5.3,0.9,10.3,714,459,0.64,28,551,15.2,91.6,93,38,2.1333333333333333,1.0333333333333334,11:24:12
6.1,0.9,15.2,1052,682,0.65,21,912,19.5,89.2,91,39,2.183333333333333,1.0833333333333333,11:24:15
6,0.9,22,1521,969,0.64,16,1587,26.1,85.6,87,41,2.2333333333333334,1.1333333333333333,11:24:18
6,0.9,20.8,1440,880,0.61,21,1163,24.8,86.3,90,39,2.283333333333333,1.1833333333333333,11:24:21
6.1,0.9,16.6,1152,768,0.67,15,1568,23,87.3,95,37,2.35,1.25,11:24:25
6.1,0.9,17.5,1210,792,0.65,14,1602,23,87.3,90,39,2.4166666666666665,1.3166666666666667,11:24:29
5.8,0.9,21.1,1462,932,0.64,15,1687,25.8,85.8,88,40,2.4833333333333334,1.3833333333333333,11:24:33
6,0.9,19.7,1362,817,0.6,15,1496,22.4,87.6,86,40,2.55,1.45,11:24:37
5.8,0.9,24.6,1705,972,0.57,18,1562,28,84.5,82,41,2.6166666666666667,1.5166666666666666,11:24:41
6,0.9,25,1733,1021,0.59,14,2036,27.9,84.6,86,39,2.6833333333333336,1.5833333333333335,11:24:45
5.8,0.9,26.1,1805,1044,0.58,16,1756,27.9,84.6,81,41,2.75,1.65,11:24:49
6,0.9,31.4,2171,1241,0.57,30,1264,38.1,78.9,87,38,2.783333333333333,1.6833333333333333,11:24:51
6.1,0.9,26.6,1844,1052,0.57,14,1987,27.4,84.9,78,43,2.85,1.75,11:24:55
5.8,0.9,36.8,2546,1451,0.57,20,1849,37.5,79.3,80,42,2.9,1.8,11:24:58
6.1,0.9,35.5,2454,1454,0.59,23,1655,37.9,79,84,40,2.95,1.85,11:25:01
6.1,0.9,26.1,1804,1261,0.7,13,2746,35.4,80.4,93,39,3.0166666666666666,1.9166666666666665,11:25:05
5.8,0.9,22.9,1587,995,0.63,15,1679,25.6,85.8,84,43,3.0833333333333335,1.9833333333333334,11:25:09
6.1,0.9,35.4,2452,1466,0.6,20,1730,35.3,80.5,79,44,3.1333333333333333,2.033333333333333,11:25:12
5.8,0.9,37.8,2617,1642,0.63,24,1871,44.2,75.6,89,39,3.183333333333333,2.0833333333333335,11:25:15
5.8,0.9,36.1,2498,1630,0.65,25,1721,43,76.2,89,40,3.216666666666667,2.1166666666666667,11:25:17
5.8,0.9,26.1,1804,1174,0.65,24,1282,31.4,82.6,89,41,3.2666666666666666,2.1666666666666665,11:25:20
5.8,0.9,38.5,2665,1825,0.68,33,1573,51.3,71.6,93,39,3.283333333333333,2.183333333333333,11:25:21
5.8,0.9,21.1,1459,986,0.68,15,1731,25.5,85.9,85,44,3.3666666666666667,2.2666666666666666,11:25:26
6,0.9,37.4,2591,1694,0.65,23,1947,44.6,75.3,87,42,3.4,2.3,11:25:28
5.8,0.9,28.7,1986,1324,0.67,16,2100,34.5,80.9,86,43,3.466666666666667,2.3666666666666667,11:25:32
6.1,0.9,24.7,1709,1122,0.66,16,1727,27.6,84.7,82,45,3.533333333333333,2.4333333333333336,11:25:36
6,0.9,30.1,2087,1392,0.67,19,1872,34.9,80.7,88,42,3.5833333333333335,2.4833333333333334,11:25:39
5.8,0.9,28.8,1994,1323,0.66,14,2160,30.4,83.2,78,48,3.65,2.55,11:25:43
6.1,0.9,31.4,2174,1347,0.62,21,1474,30.3,83.3,78,46,3.7,2.6,11:25:46
5.8,0.9,41.7,2886,1997,0.69,24,2222,54.2,70,94,39,3.7333333333333334,2.6333333333333333,11:25:48
6.1,0.9,41.7,2886,2148,0.74,34,1783,61.1,66.2,97,38,3.7666666666666666,2.6666666666666665,11:25:50
6.1,0.9,36.7,2539,1984,0.78,34,1663,57.3,68.3,100,38,3.8,2.7,11:25:52
5.8,0.9,24.6,1705,1355,0.79,18,1977,35.5,80.4,89,45,3.85,2.75,11:25:55
6,0.9,26.6,1838,1369,0.74,16,2168,33.7,81.4,87,46,3.9166666666666665,2.8166666666666664,11:25:59
