speed,grade,vo2,vo2_abs,vco2,rer,rr,vt.btps,ve.btps,peto2,petco2,br,time,ex_time,clock_time,stage
3,1,4.9,297,219,0.74,19,446,8.5,104,32,93.2,1.2166666666666668,0.11666666666666668,11:00:51,1
2.9,1,14.7,890,612,0.69,22,859,18.5,94,37,85.1,1.2666666666666666,0.16666666666666666,11:00:54,1
2.9,1,8.8,532,360,0.68,22,538,11.7,95,36,90.6,1.3,0.2,11:00:56,1
2.9,1,12.6,767,530,0.69,24,723,17.6,96,35,85.8,1.35,0.25,11:00:59,1
2.9,1,5.9,357,260,0.73,26,406,10.5,101,33,91.5,1.3833333333333333,0.2833333333333333,11:01:01,1
3,1,12.8,776,537,0.69,19,833,15.8,94,37,87.2,1.4333333333333331,0.3333333333333333,11:01:04,1
3,1,10.5,637,433,0.68,23,608,13.8,95,37,88.9,1.4833333333333334,0.38333333333333336,11:01:07,1
3,1,16.4,993,791,0.8,16,1643,25.9,107,32,79.1,1.55,0.45,11:01:11,1
3,1,7.6,461,351,0.76,21,547,11.5,102,35,90.8,1.6,0.5,11:01:14,1
3,1,8.8,532,403,0.76,17,765,12.8,97,37,89.7,1.65,0.55,11:01:17,1
3,1,15.7,950,695,0.73,30,723,21.9,100,35,82.3,1.6833333333333331,0.5833333333333334,11:01:19,1
2.9,1,7.1,429,310,0.72,15,649,9.8,97,37,92.1,1.75,0.65,11:01:23,1
3,1,12.3,745,562,0.75,32,609,19.3,102,34,84.4,1.7833333333333332,0.6833333333333333,11:01:25,1
3,1,9.4,572,426,0.74,32,469,14.8,98,36,88.1,1.8166666666666669,0.7166666666666667,11:01:27,1
3,1,12.8,779,568,0.73,28,668,18.7,98,35,84.9,1.85,0.75,11:01:29,1
3,1,13.7,830,615,0.74,23,841,19.4,98,36,84.3,1.9,0.8,11:01:32,1
3,1,11.6,706,519,0.74,19,828,15.9,98,36,87.2,1.95,0.85,11:01:35,1
3,1,10.9,662,484,0.73,22,712,15.5,97,37,87.5,2,0.9,11:01:38,1
3,1,12.2,743,544,0.73,20,853,17.2,97,37,86.1,2.05,0.95,11:01:41,1
3.5,1,13.3,807,584,0.72,23,796,18.3,97,36,85.2,2.0833333333333335,0.9833333333333332,11:01:43,1
4.3,1,20.2,1225,853,0.7,31,836,25.6,96,36,79.4,2.1166666666666667,1.0166666666666666,11:01:45,2
5.2,1,22.7,1379,1026,0.74,35,930,32.6,103,34,73.7,2.15,1.05,11:01:47,2
5.2,1,20.4,1239,966,0.78,34,910,31.4,103,34,74.7,2.183333333333333,1.0833333333333333,11:01:49,2
5.1,1,13,787,614,0.78,25,741,18.8,101,36,84.8,2.216666666666667,1.1166666666666667,11:01:51,2
5.1,1,16.9,1023,830,0.81,34,797,27.2,104,34,78.1,2.25,1.15,11:01:53,2
5.1,1,14.2,864,700,0.81,25,923,23.5,103,35,81.1,2.283333333333333,1.1833333333333331,11:01:55,2
5.2,1,23.5,1427,1161,0.81,34,1082,37.1,105,34,70.1,2.3166666666666664,1.2166666666666668,11:01:57,2
5.2,1,17.8,1081,888,0.82,29,1004,29.5,106,34,76.2,2.35,1.25,11:01:59,2
5.2,1,12.1,732,605,0.83,20,984,19.3,104,35,84.4,2.4,1.3,11:02:02,2
5.3,1,23.8,1447,1082,0.75,34,1036,35.3,103,34,71.5,2.4333333333333336,1.3333333333333333,11:02:04,2
5.2,1,24.7,1500,1156,0.77,34,1096,37.6,103,34,69.7,2.45,1.35,11:02:05,2
5.2,1,28.3,1717,1293,0.75,36,1144,41.1,102,34,66.9,2.4833333333333334,1.3833333333333333,11:02:07,2
5.3,1,27.2,1649,1276,0.77,29,1379,40.2,102,35,67.6,2.5166666666666666,1.4166666666666667,11:02:09,2
5.2,1,17.2,1043,814,0.78,31,999,30.7,107,32,75.2,2.55,1.45,11:02:11,2
5.1,1,24.2,1467,1040,0.71,28,1080,30.6,95,37,75.4,2.5833333333333335,1.4833333333333334,11:02:13,2
5.1,1,27.4,1665,1203,0.72,26,1457,37.5,98,36,69.8,2.6333333333333333,1.5333333333333332,11:02:16,2
5.1,1,28.9,1756,1267,0.72,28,1426,40.4,100,35,67.5,2.6666666666666665,1.5666666666666669,11:02:18,2
5.2,1,28.4,1724,1252,0.73,35,1120,39.3,97,36,68.3,2.6833333333333336,1.5833333333333337,11:02:19,2
5.2,1,26.8,1625,1176,0.72,34,1103,37.8,100,35,69.5,2.716666666666667,1.6166666666666667,11:02:21,2
5.2,1,25.8,1563,1097,0.7,29,1085,31.6,95,37,74.5,2.75,1.65,11:02:23,2
5.1,1,33.2,2018,1571,0.78,20,2560,50.5,103,34,59.3,2.8,1.7,11:02:26,2
5.1,1,25,1520,1134,0.75,32,1159,36.8,102,34,70.4,2.8333333333333335,1.7333333333333334,11:02:28,2
5.2,1,33.6,2042,1497,0.73,38,1225,46.8,99,36,62.3,2.8666666666666667,1.7666666666666666,11:02:30,2
5.1,1,30.4,1845,1439,0.78,35,1313,45.5,102,35,63.3,2.8833333333333333,1.7833333333333332,11:02:31,2
5.2,1,31,1884,1474,0.78,36,1253,45.6,100,36,63.3,2.9166666666666665,1.8166666666666669,11:02:33,2
5.2,1,27.7,1681,1303,0.77,34,1246,42.5,103,35,65.7,2.95,1.85,11:02:35,2
5.3,1,35.4,2146,1650,0.77,36,1394,50.1,101,35,59.6,2.9833333333333334,1.8833333333333333,11:02:37,2
5.2,1,25.4,1544,1228,0.8,35,1145,40.4,104,34,67.4,3,1.9,11:02:38,2
5.2,1,27.9,1695,1294,0.76,30,1255,37.1,100,36,70.1,3.033333333333333,1.9333333333333331,11:02:40,2
5.1,1,31.2,1891,1474,0.78,25,1735,43.6,101,36,64.9,3.0833333333333335,1.9833333333333336,11:02:43,2
5.2,1,30.7,1862,1455,0.78,35,1271,44.1,101,36,64.5,3.1,2,11:02:44,2
5.1,1,31.4,1906,1457,0.76,36,1253,45,100,36,63.7,3.1333333333333333,2.033333333333333,11:02:46,2
5.1,1,27.3,1656,1278,0.77,34,1200,41.4,104,34,66.6,3.1666666666666665,2.066666666666667,11:02:48,2
5.3,1,33.5,2030,1566,0.77,37,1313,48,101,36,61.3,3.183333333333333,2.0833333333333335,11:02:49,2
5.3,1,30.8,1871,1436,0.77,34,1341,45.2,102,35,63.6,3.216666666666667,2.1166666666666667,11:02:51,2
5.1,1,34.5,2095,1608,0.77,36,1368,48.6,99,37,60.9,3.25,2.15,11:02:53,2
5.2,1,33.4,2029,1612,0.79,34,1438,49.3,101,36,60.3,3.283333333333333,2.183333333333333,11:02:55,2
5.1,1,33.4,2027,1649,0.81,35,1459,50.6,101,36,59.2,3.3,2.2,11:02:56,2
5.1,1,28.4,1724,1443,0.84,35,1374,48.2,107,34,61.1,3.3333333333333335,2.2333333333333334,11:02:58,2
5.3,1,33.5,2035,1677,0.82,38,1354,52.1,103,36,58,3.3666666666666667,2.2666666666666666,11:03:00,2
5.2,1,24.7,1496,1172,0.78,27,1211,32.6,100,38,73.7,3.4,2.3,11:03:02,2
5.1,1,32.1,1949,1526,0.78,29,1495,43.6,97,39,64.9,3.4333333333333336,2.3333333333333335,11:03:04,2
5.3,1,35,2122,1725,0.81,22,2283,49.5,99,38,60.1,3.4833333333333334,2.3833333333333333,11:03:07,2
5.1,1,28.7,1741,1423,0.82,34,1319,45.2,105,35,63.5,3.5,2.4,11:03:08,2
5.1,1,34.5,2092,1671,0.8,36,1410,50.7,101,36,59.2,3.533333333333333,2.4333333333333336,11:03:10,2
