Time	Ex Time	Time (Clock)	Speed	Grade	VO2	VO2	VCO2	RER	RR	Vt BTPS	VE BTPS	BR	PETO2	PETCO2	HR	HRR
(min)	(min)	(Clock)	(MPH)	(%)	(mL/kg/min)	(mL/min)	(mL/min)		(br/min)	(mL)	(L/min)	(%)	(mmHg)	(mmHg)	(BPM)	(%)
0:15	 	12:53:38	0.0	300.1	8.4	545	397	0.73	20	684	14.0	92.2	99	36	 	 
0:20	 	12:53:43	0.0	300.1	5.5	361	256	0.71	12	640	7.7	95.7	92	40	 	 
0:23	 	12:53:46	0.0	300.1	11.9	778	535	0.69	18	917	16.6	90.7	93	38	 	 
0:27	 	12:53:50	0.0	300.1	13.5	880	638	0.72	17	1141	19.3	89.2	98	36	 	 
0:36	0:02	12:53:59	2.8	0.9	6.9	450	332	0.74	7	1506	10.4	94.2	93	39	 	 
0:42	0:08	12:54:05	3.0	0.9	8.1	526	363	0.69	11	951	10.1	94.4	84	43	 	 
0:44	0:10	12:54:07	3.0	0.9	16.2	1059	684	0.65	21	931	19.4	89.2	85	41	 	 
0:49	0:15	12:54:12	3.0	0.9	19.2	1254	873	0.70	12	2076	25.6	85.7	95	37	 	 
0:55	0:21	12:54:18	3.0	0.9	7.6	494	329	0.67	11	795	8.8	95.1	84	43	 	 
0:58	0:24	12:54:21	3.0	0.9	19.0	1237	786	0.64	18	1166	21.3	88.1	87	40	 	 
1:01	0:27	12:54:24	3.0	0.9	18.4	1199	808	0.67	18	1243	21.9	87.8	90	39	 	 
1:07	0:33	12:54:30	3.0	0.9	8.6	563	382	0.68	11	916	10.3	94.2	84	43	 	 
1:10	0:36	12:54:33	3.0	0.9	17.5	1140	782	0.69	18	1169	21.4	88.0	91	39	 	 
1:13	0:39	12:54:36	3.0	0.9	13.5	880	611	0.69	18	1042	19.2	89.2	93	38	 	 
1:17	0:43	12:54:40	3.0	0.9	10.2	666	462	0.69	15	860	12.6	93.0	91	40	 	 
1:20	0:46	12:54:43	3.0	0.9	13.8	902	626	0.69	23	837	19.3	89.2	91	40	 	 
1:26	0:52	12:54:49	2.9	0.9	8.8	573	389	0.68	9	1086	10.1	94.3	82	44	 	 
1:31	0:57	12:54:54	3.0	0.9	17.2	1122	734	0.65	15	1305	19.0	89.4	86	41	 	 
1:35	1:01	12:54:58	5.2	0.9	4.3	284	194	0.68	13	519	6.5	96.4	91	40	 	 
1:37	1:03	12:55:00	6.2	0.9	44.9	2931	2003	0.68	35	1598	55.4	69.0	92	38	 	 
1:40	1:06	12:55:03	7.6	0.9	22.9	1493	1064	0.71	23	1319	30.0	83.2	96	37	 	 
1:45	1:11	12:55:08	7.3	0.9	13.2	861	597	0.69	12	1314	15.8	91.2	85	44	 	 
1:47	1:13	12:55:10	7.5	0.9	28.9	1887	1245	0.66	31	1176	36.2	79.8	89	40	 	 
1:49	1:15	12:55:12	7.4	0.9	29.4	1915	1305	0.68	22	1686	36.5	79.6	94	38	 	 
1:52	1:18	12:55:15	7.4	0.9	25.1	1634	1158	0.71	22	1559	34.9	80.5	97	36	 	 
1:56	1:22	12:55:19	7.3	0.9	18.6	1211	855	0.71	15	1458	22.3	87.5	89	41	 	 
1:58	1:24	12:55:21	7.5	0.9	17.2	1122	755	0.67	30	879	26.4	85.3	93	38	 	 
2:00	1:26	12:55:23	7.3	0.9	35.8	2338	1562	0.67	39	1094	42.6	76.2	88	40	 	 
2:02	1:28	12:55:25	7.3	0.9	33.6	2193	1428	0.65	26	1528	39.5	77.9	88	39	 	 
2:04	1:30	12:55:27	7.4	0.9	38.7	2527	1606	0.64	34	1293	44.3	75.2	85	40	 	 
2:08	1:34	12:55:31	7.3	0.9	19.9	1300	812	0.62	14	1478	20.4	88.6	80	43	 	 
2:10	1:36	12:55:33	7.3	0.9	40.2	2622	1572	0.60	28	1561	44.0	75.4	85	40	 	 
2:13	1:39	12:55:36	7.4	0.9	44.2	2882	1898	0.66	20	2703	53.4	70.2	90	38	 	 
2:16	1:42	12:55:39	7.5	0.9	36.5	2383	1566	0.66	21	1979	42.3	76.4	88	41	 	 
2:19	1:45	12:55:42	7.4	0.9	32.3	2108	1392	0.66	24	1702	40.7	77.3	92	38	 	 
2:20	1:46	12:55:43	7.4	0.9	39.5	2579	1722	0.67	35	1431	49.9	72.1	90	39	 	 
2:22	1:48	12:55:45	7.3	0.9	31.2	2037	1338	0.66	45	931	42.3	76.3	90	39	 	 
2:26	1:52	12:55:49	7.4	0.9	33.1	2159	1420	0.66	15	2308	34.8	80.6	84	43	 	 
2:28	1:54	12:55:51	7.4	0.9	43.9	2863	1911	0.67	24	2032	49.6	72.3	87	41	 	 
2:30	1:56	12:55:53	7.3	0.9	46.0	3002	2116	0.70	26	2252	57.5	67.9	93	39	 	 
2:33	1:59	12:55:56	7.3	0.9	43.1	2810	2099	0.75	20	2921	58.6	67.2	95	39	 	 
2:37	2:03	12:56:00	7.4	0.9	24.6	1603	1112	0.69	15	1682	25.6	85.7	80	47	 	 
2:39	2:05	12:56:02	7.5	0.9	54.4	3549	2449	0.69	29	2140	62.0	65.3	88	42	 	 
2:42	2:08	12:56:05	7.4	0.9	49.0	3195	2333	0.73	22	2937	64.3	64.0	94	39	 	 
2:44	2:10	12:56:07	7.4	0.9	41.0	2677	2011	0.75	28	2050	57.7	67.7	96	39	 	 
2:48	2:14	12:56:11	7.4	0.9	28.9	1883	1368	0.73	16	1958	30.8	82.8	84	46	 	 
2:50	2:16	12:56:13	7.3	0.9	51.9	3386	2401	0.71	27	2290	62.2	65.2	91	41	 	 
2:53	2:19	12:56:16	7.3	0.9	51.3	3349	2552	0.76	25	2783	68.7	61.6	95	39	 	 
2:56	2:22	12:56:19	7.3	0.9	25.7	1679	1227	0.73	19	1553	29.6	83.5	89	43	 	 
2:58	2:24	12:56:21	7.5	0.9	52.1	3399	2520	0.74	29	2206	64.9	63.7	91	41	 	 
3:01	2:27	12:56:24	7.4	0.9	49.7	3244	2517	0.78	22	3056	67.9	62.0	95	40	 	 
3:04	2:30	12:56:27	7.5	0.9	30.1	1963	1479	0.75	18	1908	34.0	81.0	88	45	 	 
3:06	2:32	12:56:29	7.4	0.9	50.9	3321	2503	0.75	32	2109	66.6	62.8	93	41	 	 
3:08	2:34	12:56:31	7.4	0.9	45.7	2978	2326	0.78	28	2360	65.5	63.4	97	39	 	 
3:12	2:38	12:56:35	7.4	0.9	35.8	2333	1822	0.78	17	2580	43.7	75.6	89	45	 	 
3:14	2:40	12:56:37	7.4	0.9	47.8	3121	2412	0.77	28	2172	60.9	65.9	94	41	 	 
3:16	2:42	12:56:39	7.4	0.9	50.3	3279	2612	0.80	27	2606	70.7	60.4	96	40	 	 
3:19	2:45	12:56:42	7.4	0.9	31.2	2033	1565	0.77	19	1967	36.5	79.6	89	45	 	 
3:21	2:47	12:56:44	7.5	0.9	55.7	3635	2811	0.77	30	2451	73.2	59.1	92	42	 	 
