speed,grade,vo2,vo2_abs,vco2,rer,rr,vt_btps,ve_btps,br,peto2,petco2,time,ex_time,clock_time,stage,fixed_speeds,fixed_grades,ramp_time,ramp_speed
3,0.9,3,244,221,0.91,26,254,6.7,95.8,108,35,1.1666666666666667,0.06666666666666667,11:47:39,1,3,1,-14.933333333333334,-4.786666666666668
3,0.9,12.3,1018,1016,1,10,3244,32.8,79.5,112,33,1.2666666666666666,0.16666666666666666,11:47:45,1,3,1,-14.833333333333334,-4.729166666666669
3,0.9,13.3,1099,969,0.88,11,2602,28.2,82.4,106,36,1.3666666666666667,0.26666666666666666,11:47:51,1,3,1,-14.733333333333333,-4.671666666666668
3,0.9,4.9,406,365,0.9,15,828,12.3,92.4,109,34,1.4333333333333333,0.3333333333333333,11:47:55,1,3,1,-14.666666666666666,-4.633333333333334
3,0.9,8.1,672,583,0.87,8,2032,15.7,90.2,100,40,1.5666666666666667,0.4666666666666667,11:48:03,1,3,1,-14.533333333333333,-4.5566666666666675
3,0.9,12.4,1020,866,0.85,11,2207,25.3,84.3,97,40,1.65,0.55,11:48:08,1,3,1,-14.45,-4.50875
3,0.9,9,747,660,0.88,10,2193,21.7,86.4,110,32,1.75,0.65,11:48:14,1,3,1,-14.35,-4.451250000000001
3,0.9,9.5,786,591,0.75,8,2020,16.3,89.8,82,44,1.8666666666666667,0.7666666666666667,11:48:21,1,3,1,-14.233333333333333,-4.384166666666668
3,0.9,10.5,868,554,0.64,8,1797,14.7,90.8,86,42,2,0.9,11:48:29,1,3,1,-14.1,-4.3075
3,0.9,18.2,1503,1132,0.75,11,3382,35.9,77.7,103,34,2.0833333333333335,0.9833333333333333,11:48:34,1,3,1,-14.016666666666667,-4.259583333333334
4.8,0.9,8.9,735,559,0.76,12,1365,16.2,89.9,99,38,2.1666666666666665,1.0666666666666667,11:48:39,2,6.3,1,-13.933333333333334,-4.211666666666669
6.3,0.9,7.1,589,348,0.59,11,1032,11.7,92.7,72,46,2.2666666666666666,1.1666666666666667,11:48:45,2,6.3,1,-13.833333333333334,-4.154166666666668
6.2,0.9,33.3,2752,1522,0.55,24,1653,40.5,74.8,81,41,2.3,1.2,11:48:47,2,6.3,1,-13.8,-4.135000000000002
6.2,0.9,22.6,1866,1204,0.65,23,1614,36.8,77.1,95,36,2.35,1.25,11:48:50,2,6.3,1,-13.75,-4.106250000000001
6.3,0.9,23.3,1920,1295,0.67,31,1293,39.6,75.3,96,37,2.3833333333333333,1.2833333333333332,11:48:52,2,6.3,1,-13.716666666666667,-4.087083333333334
6.3,0.9,15.4,1267,865,0.68,29,1107,31.6,80.3,100,35,2.4166666666666665,1.3166666666666667,11:48:54,2,6.3,1,-13.683333333333334,-4.067916666666668
6.3,0.9,26.9,2220,1547,0.7,36,1347,48.1,70,96,37,2.4333333333333336,1.3333333333333333,11:48:55,2,6.3,1,-13.666666666666666,-4.0583333333333345
6.2,0.9,10.4,863,618,0.72,31,661,20.4,87.3,97,36,2.466666666666667,1.3666666666666667,11:48:57,2,6.3,1,-13.633333333333333,-4.0391666666666675
6.3,0.9,28.3,2338,1661,0.71,21,2251,48.2,69.9,97,37,2.5166666666666666,1.4166666666666667,11:49:00,2,6.3,1,-13.583333333333334,-4.010416666666668
6.2,0.9,27.4,2260,1676,0.74,15,3027,44.4,72.3,92,40,2.5833333333333335,1.4833333333333334,11:49:04,2,6.3,1,-13.516666666666666,-3.972083333333334
6.2,0.9,21.5,1779,1401,0.79,15,2841,42.8,73.3,101,36,2.65,1.55,11:49:08,2,6.3,1,-13.45,-3.9337500000000007
6.3,0.9,13.2,1092,749,0.69,25,978,24.3,84.8,94,38,2.7,1.6,11:49:11,2,6.3,1,-13.4,-3.905000000000001
6.3,0.9,37.4,3084,1991,0.65,29,1813,52,67.6,88,40,2.7333333333333334,1.6333333333333333,11:49:13,2,6.3,1,-13.366666666666667,-3.885833333333335
6.3,0.9,25.4,2093,1380,0.66,43,987,42.3,73.6,93,38,2.75,1.65,11:49:14,2,6.3,1,-13.35,-3.8762500000000006
6.3,0.9,27.5,2267,1503,0.66,40,1083,43,73.2,91,39,2.783333333333333,1.6833333333333333,11:49:16,2,6.3,1,-13.316666666666666,-3.8570833333333345
6.1,0.9,31,2563,1707,0.67,28,1647,46.2,71.2,88,40,2.8166666666666664,1.7166666666666668,11:49:18,2,6.3,1,-13.283333333333333,-3.8379166666666675
6.3,0.9,33.9,2796,2075,0.74,17,3513,58.1,63.8,96,38,2.8666666666666667,1.7666666666666666,11:49:21,2,6.3,1,-13.233333333333334,-3.809166666666668
6.2,0.9,19.9,1646,1167,0.71,37,994,36.6,77.2,96,38,2.9,1.8,11:49:23,2,6.3,1,-13.2,-3.790000000000001
6.3,0.9,16.8,1387,973,0.7,17,1661,27.8,82.7,89,42,2.966666666666667,1.8666666666666667,11:49:27,2,6.3,1,-13.133333333333333,-3.751666666666668
6.2,0.9,48,3962,2448,0.62,28,2188,61.9,61.4,84,42,3,1.9,11:49:29,2,6.3,1,-13.1,-3.732500000000001
6.2,0.9,37.9,3125,2372,0.76,18,3839,69.6,56.6,100,36,3.05,1.95,11:49:32,2,6.3,1,-13.05,-3.703750000000001
6.3,0.9,29.1,2406,1759,0.73,39,1360,53,67,97,38,3.0833333333333335,1.9833333333333334,11:49:34,2,6.3,1,-13.016666666666666,-3.684583333333334
6.3,0.9,26.1,2153,1535,0.71,40,1126,45.1,71.9,95,39,3.1,2,11:49:35,2,6.3,1,-13,-3.6750000000000007
6.2,0.9,29.3,2418,1778,0.74,37,1280,47.4,70.5,94,40,3.1333333333333333,2.033333333333333,11:49:37,2,6.3,1,-12.966666666666667,-3.6558333333333346
6.3,0.9,39.6,3266,2312,0.71,43,1495,63.6,60.4,92,40,3.15,2.05,11:49:38,2,6.3,1,-12.95,-3.64625
6.2,0.9,36,2970,2142,0.72,43,1458,63.4,60.5,96,38,3.183333333333333,2.0833333333333335,11:49:40,2,6.3,1,-12.916666666666666,-3.627083333333334
6.3,0.9,34.7,2864,2206,0.77,25,2396,60.4,62.4,97,39,3.216666666666667,2.1166666666666667,11:49:42,2,6.3,1,-12.883333333333333,-3.607916666666667
6.3,0.9,29.7,2455,1908,0.78,22,2312,50.6,68.5,96,40,3.2666666666666666,2.1666666666666665,11:49:45,2,6.3,1,-12.833333333333334,-3.5791666666666684
6.2,0.9,32.8,2704,2073,0.77,41,1455,59.8,62.7,99,39,3.283333333333333,2.183333333333333,11:49:46,2,6.3,1,-12.816666666666666,-3.569583333333334
6.3,0.9,36.2,2985,2399,0.8,36,1865,66.2,58.8,99,38,3.3166666666666664,2.216666666666667,11:49:48,2,6.3,1,-12.783333333333333,-3.550416666666668
6.3,0.9,27.7,2289,1934,0.84,17,3333,55.6,65.4,100,38,3.3666666666666667,2.2666666666666666,11:49:51,2,6.3,1,-12.733333333333334,-3.5216666666666683
6.1,0.9,40.3,3328,2526,0.76,20,3145,63.1,60.7,93,42,3.4166666666666665,2.3166666666666664,11:49:54,2,6.3,1,-12.683333333333334,-3.492916666666668
6.2,0.9,29.4,2425,1782,0.74,28,1587,44.1,72.5,91,43,3.466666666666667,2.3666666666666667,11:49:57,2,6.3,1,-12.633333333333333,-3.4641666666666673
6.3,0.9,27.6,2275,1726,0.76,19,2274,43.6,72.8,90,43,3.5166666666666666,2.4166666666666665,11:50:00,2,6.3,1,-12.583333333333334,-3.4354166666666677
6.1,0.9,47.5,3925,2872,0.73,31,2420,74.1,53.8,94,40,3.55,2.45,11:50:02,2,6.3,1,-12.55,-3.4162500000000016
6.2,0.9,43.7,3610,2966,0.82,28,2932,82.2,48.8,101,38,3.5833333333333335,2.4833333333333334,11:50:04,2,6.3,1,-12.516666666666666,-3.3970833333333337
6.3,0.9,34.4,2844,2409,0.85,35,1945,68.6,57.2,103,37,3.6166666666666667,2.5166666666666666,11:50:06,2,6.3,1,-12.483333333333334,-3.3779166666666685
6.3,0.9,34.6,2853,2305,0.81,42,1542,65.2,59.4,99,39,3.6333333333333333,2.533333333333333,11:50:07,2,6.3,1,-12.466666666666667,-3.368333333333334
6.3,0.9,37.8,3117,2628,0.84,37,2005,73.3,54.3,101,39,3.6666666666666665,2.5666666666666664,11:50:09,2,6.3,1,-12.433333333333334,-3.349166666666668
6.2,0.9,31,2563,2280,0.89,38,1702,64.2,60,103,38,3.6833333333333336,2.5833333333333335,11:50:10,2,6.3,1,-12.416666666666666,-3.3395833333333336
6.3,0.9,41.4,3414,2935,0.86,41,2083,85,47,103,38,3.716666666666667,2.6166666666666667,11:50:12,2,6.3,1,-12.383333333333333,-3.3204166666666675
6.3,0.9,39.5,3257,3057,0.94,25,3679,93.1,42,108,36,3.75,2.65,11:50:14,2,6.3,1,-12.35,-3.3012500000000005
6.2,0.9,30.6,2525,2326,0.92,25,2643,65.3,59.3,105,38,3.783333333333333,2.6833333333333336,11:50:16,2,6.3,1,-12.316666666666666,-3.2820833333333344
6.3,0.9,30.8,2546,2268,0.89,28,2214,61.8,61.5,102,39,3.8333333333333335,2.7333333333333334,11:50:19,2,6.3,1,-12.266666666666666,-3.253333333333334
6.3,0.9,35.2,2906,2514,0.87,33,2065,68.5,57.3,101,40,3.85,2.75,11:50:20,2,6.3,1,-12.25,-3.2437500000000012
6.3,0.9,29.9,2467,2153,0.87,30,1953,58.3,63.7,101,39,3.8833333333333333,2.783333333333333,11:50:22,2,6.3,1,-12.216666666666667,-3.2245833333333342
6.3,0.9,28.8,2381,1868,0.78,23,1917,43.4,73,91,45,3.9333333333333336,2.8333333333333335,11:50:25,2,6.3,1,-12.166666666666666,-3.1958333333333337
6.3,0.9,40.9,3379,2798,0.83,31,2397,74.1,53.8,99,40,3.966666666666667,2.8666666666666667,11:50:27,2,6.3,1,-12.133333333333333,-3.1766666666666676
6.3,0.9,42.8,3536,2995,0.85,42,1953,82.5,48.6,100,39,3.9833333333333334,2.8833333333333333,11:50:28,2,6.3,1,-12.116666666666667,-3.167083333333335
6.3,0.9,37.9,3127,2638,0.84,43,1778,76.7,52.2,102,38,4.016666666666667,2.9166666666666665,11:50:30,2,6.3,1,-12.083333333333334,-3.147916666666668
6.2,0.9,39.7,3278,2864,0.87,44,1879,82.9,48.3,102,38,4.033333333333333,2.9333333333333336,11:50:31,2,6.3,1,-12.066666666666666,-3.1383333333333345
6.3,0.9,37.2,3071,2738,0.89,45,1794,80.9,49.6,104,37,4.066666666666666,2.966666666666667,11:50:33,2,6.3,1,-12.033333333333333,-3.1191666666666675
6.3,0.9,30.7,2530,2367,0.94,36,1847,66.4,58.6,104,38,4.083333333333333,2.9833333333333334,11:50:34,2,6.3,1,-12.016666666666666,-3.109583333333334
6.2,0.9,23.3,1922,1759,0.91,13,3574,48.1,70,87,48,4.166666666666667,3.066666666666667,11:50:39,2,6.3,1,-11.933333333333334,-3.0616666666666674
6.3,0.9,42,3468,2679,0.77,30,2257,66.7,58.4,93,42,4.2,3.1,11:50:41,2,6.3,1,-11.9,-3.0425000000000013
6.2,0.9,41.6,3431,2874,0.84,34,2412,80.8,49.6,101,39,4.216666666666667,3.1166666666666667,11:50:42,2,6.3,1,-11.883333333333333,-3.032916666666667
6.1,0.9,37.4,3092,2686,0.87,39,1968,76.2,52.5,102,38,4.25,3.15,11:50:44,2,6.3,1,-11.85,-3.013750000000001
6.3,0.9,31.5,2602,2291,0.88,38,1648,63.4,60.5,102,39,4.283333333333333,3.183333333333333,11:50:46,2,6.3,1,-11.816666666666666,-2.994583333333334
6.2,0.9,38.4,3174,2837,0.89,47,1701,79.1,50.7,103,38,4.3,3.2,11:50:47,2,6.3,1,-11.8,-2.985000000000001
6.3,0.9,40.8,3365,2979,0.89,49,1760,85.8,46.5,103,39,4.316666666666666,3.216666666666667,11:50:48,2,6.3,1,-11.783333333333333,-2.9754166666666677
6.1,0.9,36.7,3031,2894,0.95,45,1902,85.8,46.5,105,38,4.333333333333333,3.2333333333333334,11:50:49,2,6.3,1,-11.766666666666666,-2.9658333333333333
6.3,0.9,33.8,2791,2520,0.9,45,1665,75.1,53.2,104,38,4.366666666666666,3.2666666666666666,11:50:51,2,6.3,1,-11.733333333333334,-2.946666666666668
6.3,0.9,33.2,2742,2653,0.97,36,2068,75.2,53.1,106,37,4.383333333333334,3.283333333333333,11:50:52,2,6.3,1,-11.716666666666667,-2.9370833333333346
6.2,0.9,34.8,2873,2697,0.94,43,1820,78,51.4,104,39,4.416666666666667,3.3166666666666664,11:50:54,2,6.3,1,-11.683333333333334,-2.9179166666666676
6.3,0.9,32.5,2685,2431,0.91,43,1691,72,55.2,105,38,4.433333333333334,3.3333333333333335,11:50:55,2,6.3,1,-11.666666666666666,-2.908333333333334
